p_id,p_name,address,tags,open_time,open_day,category,price,p_rate,link
f135,키이스케이프 혜화점,서울 종로구 대학로12길 50 3층 (우)03086,오프라인 방탈출카페,테마카페,매일 10:30 ~ 23:00,f,,0/5,https://place.map.kakao.com/27176753#comment
f137,GAMZINO보드게임카페 압구정점,서울 강남구 도산대로51길 40 (우)06018,,오락실,,f,,0/5,https://place.map.kakao.com/27025428#comment
f143,방탈출카페ESC 홍대점,서울 마포구 와우산로21길 19-16 NS타워 지하 2층 (우)04041,"방탈출카페, 게임&PUB",테마카페,매일 10:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/1604855298#comment
f145,머쉬룸카페,서울 마포구 잔다리로6길 35 향남빌딩 4층 (우)04039,,카페,"월~금 12:00 ~ 00:30
더보기",f,,0/5,https://place.map.kakao.com/395610351#comment
f146,카페화실,서울 강남구 테헤란로1길 17 5층 (우)06134,,테마카페,매일 12:00 ~ 23:00,f,,0/5,https://place.map.kakao.com/1709230849#comment
f147,카페데코믹스 홍대점,서울 마포구 어울마당로 96 3층 (우)04040,"한 시대를 풍미한 만화의 맥을 이어받아
또한번 새롭게 도약하는 카페데코믹스
자라나는 아이들에게 꿈과 희망을 주고 시련을 극복하는 방법을 알려주며,대중예술의 꽃으로 일커졌던 만화를 카페데코믹스에서 또 한번 꽃 피우려고 합니다.
카페데코믹스는 은은한 커피 향과, 다채로운 고객 맞춤형 만화 컨텐츠로 휴식과 즐거움을 제공함으로써 생활의 재충전, 인생의 즐거움을 함께 드리고자 합니다.
함께하는 카페데코믹스
카페데코믹스는 Coffee 와 만화책을 한 공간에서 즐길수있는 재충전의공간을 말합니다.
커피를 볶는 카페데코믹스
카페데코믹스의 커피는 대량으로 볶아지는 원두가 아닙니다.
매일매일 소량의 원두를 정성것 볶아 제공하는 카페데코믹스만의 선물입니다.
재미가 있는 카페데코믹스
여성의 전유물, 새로운 애완동물로 자리매김 하고있는 야옹이 본연의 시크함과 도도함,깔끔한 성격으로 여성의 사랑을 듬뿍 받고있는 고양이가 운영하는 카페데코믹스 입니다.",북카페,"월,화,수,목,일 11:00 ~ 24:00
더보기",f,,0/5,https://place.map.kakao.com/22614688#comment
f148,카페허니룸,서울 서초구 서초대로77길 37 서초동월드 8층 801호 (우)06612,,테마카페,매일 12:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/1672829084#comment
f149,보다더카페,서울 서대문구 세검정로 57 2층 (우)03623,"보다더카페는
저렴한 생두가 아닌 스페셜티급의 생두(예가체프, 케냐AA, 산토스)를 직접 로스팅하여 가스를 12시간 충분히 뺀 상태에서 블랜딩한 원두를 48시간만 판매하는 곳입니다.

신선한 원두의 맛과 직접 정성을 다하여 씨 하나 없이 담근 과일청들과
사이다가 아닌 직접 만든 탄산수로 만든 에이드와 보드카칵테일, 이쁜 색상의 모히또와 전적으로 여성의 입맛에 맞춘 보드카칵테일! 물론 남자는 샷추가로 강하게~ 남자에 대한 의리!~~ ^ ^

한번 맛보면 계속 찾게 되는 자몽빙수!

직접 만들어 더 맛있는 양송이스프와 양송이스프 베이스의 크로크무슈~

저렴한 가격의 디저트라고 얕볼 수 없는 환상적인 데코의 치즈케잌과 머핀, 브라우니, 고소한 크림치즈가 듬뿍한 프리첼!

담백한 맛의 치킨 퀘사디아와 토마토, 양파, 치킨육수와 엑스트라 버진 올리브유로만 맛을 낸 얼큰한 국물이 일품인 토마토해물파스타와 브로콜리가 살아있는 크림 파스타~",카페,"매일 10:30 ~ 24:00
더보기",f,,0/5,https://place.map.kakao.com/23700661#comment
f1410,만화카페 벌툰 연신내점,"서울 은평구 통일로 830 파레제페빌딩 403,404호 (우)03350",,만화카페,매일 10:00 ~ 23:00,f,,0/5,https://place.map.kakao.com/1058701106#comment
f1411,너나들이 만화카페,서울 동대문구 회기로13길 19 지하 1층 (우)02454,,만화카페,"매일 11:00 ~ 24:00
더보기",f,,0/5,https://place.map.kakao.com/737325783#comment
f1412,만화카페산장,서울 용산구 한강대로81길 22 (우)04321,,카페,매일 10:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/493916586#comment
f1413,카페23서울,서울 마포구 독막로7길 63 1층 (우)04043,,카페,,f,,0/5,https://place.map.kakao.com/1903399843#comment
f1414,만화카페검정고무신,서울 광진구 아차산로 241 3층 (우)05017,,만화카페,매일 10:00 ~ 06:00,f,,0/5,https://place.map.kakao.com/110246815#comment
f153,방탈출카페ESC 홍대점,서울 마포구 와우산로21길 19-16 NS타워 지하 2층 (우)04041,"방탈출카페, 게임&PUB",테마카페,매일 10:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/1604855298#comment
f155,머쉬룸카페,서울 마포구 잔다리로6길 35 향남빌딩 4층 (우)04039,,카페,"월~금 12:00 ~ 00:30
더보기",f,,0/5,https://place.map.kakao.com/395610351#comment
f156,카페화실,서울 강남구 테헤란로1길 17 5층 (우)06134,,테마카페,매일 12:00 ~ 23:00,f,,0/5,https://place.map.kakao.com/1709230849#comment
f157,카페데코믹스 홍대점,서울 마포구 어울마당로 96 3층 (우)04040,"한 시대를 풍미한 만화의 맥을 이어받아
또한번 새롭게 도약하는 카페데코믹스
자라나는 아이들에게 꿈과 희망을 주고 시련을 극복하는 방법을 알려주며,대중예술의 꽃으로 일커졌던 만화를 카페데코믹스에서 또 한번 꽃 피우려고 합니다.
카페데코믹스는 은은한 커피 향과, 다채로운 고객 맞춤형 만화 컨텐츠로 휴식과 즐거움을 제공함으로써 생활의 재충전, 인생의 즐거움을 함께 드리고자 합니다.
함께하는 카페데코믹스
카페데코믹스는 Coffee 와 만화책을 한 공간에서 즐길수있는 재충전의공간을 말합니다.
커피를 볶는 카페데코믹스
카페데코믹스의 커피는 대량으로 볶아지는 원두가 아닙니다.
매일매일 소량의 원두를 정성것 볶아 제공하는 카페데코믹스만의 선물입니다.
재미가 있는 카페데코믹스
여성의 전유물, 새로운 애완동물로 자리매김 하고있는 야옹이 본연의 시크함과 도도함,깔끔한 성격으로 여성의 사랑을 듬뿍 받고있는 고양이가 운영하는 카페데코믹스 입니다.",북카페,"월,화,수,목,일 11:00 ~ 24:00
더보기",f,,0/5,https://place.map.kakao.com/22614688#comment
f158,카페허니룸,서울 서초구 서초대로77길 37 서초동월드 8층 801호 (우)06612,,테마카페,매일 12:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/1672829084#comment
f159,보다더카페,서울 서대문구 세검정로 57 2층 (우)03623,"보다더카페는
저렴한 생두가 아닌 스페셜티급의 생두(예가체프, 케냐AA, 산토스)를 직접 로스팅하여 가스를 12시간 충분히 뺀 상태에서 블랜딩한 원두를 48시간만 판매하는 곳입니다.

신선한 원두의 맛과 직접 정성을 다하여 씨 하나 없이 담근 과일청들과
사이다가 아닌 직접 만든 탄산수로 만든 에이드와 보드카칵테일, 이쁜 색상의 모히또와 전적으로 여성의 입맛에 맞춘 보드카칵테일! 물론 남자는 샷추가로 강하게~ 남자에 대한 의리!~~ ^ ^

한번 맛보면 계속 찾게 되는 자몽빙수!

직접 만들어 더 맛있는 양송이스프와 양송이스프 베이스의 크로크무슈~

저렴한 가격의 디저트라고 얕볼 수 없는 환상적인 데코의 치즈케잌과 머핀, 브라우니, 고소한 크림치즈가 듬뿍한 프리첼!

담백한 맛의 치킨 퀘사디아와 토마토, 양파, 치킨육수와 엑스트라 버진 올리브유로만 맛을 낸 얼큰한 국물이 일품인 토마토해물파스타와 브로콜리가 살아있는 크림 파스타~",카페,"매일 10:30 ~ 24:00
더보기",f,,0/5,https://place.map.kakao.com/23700661#comment
f1510,만화카페 벌툰 연신내점,"서울 은평구 통일로 830 파레제페빌딩 403,404호 (우)03350",,만화카페,매일 10:00 ~ 23:00,f,,0/5,https://place.map.kakao.com/1058701106#comment
f1511,너나들이 만화카페,서울 동대문구 회기로13길 19 지하 1층 (우)02454,,만화카페,"매일 11:00 ~ 24:00
더보기",f,,0/5,https://place.map.kakao.com/737325783#comment
f1512,만화카페산장,서울 용산구 한강대로81길 22 (우)04321,,카페,매일 10:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/493916586#comment
f1513,카페23서울,서울 마포구 독막로7길 63 1층 (우)04043,,카페,,f,,0/5,https://place.map.kakao.com/1903399843#comment
f1514,만화카페검정고무신,서울 광진구 아차산로 241 3층 (우)05017,,만화카페,매일 10:00 ~ 06:00,f,,0/5,https://place.map.kakao.com/110246815#comment
f160,카페이노이드 서일대직영점,서울 중랑구 용마산로86길 9-38 (우)02192,,카페,,f,,0/5,https://place.map.kakao.com/26947865#comment
f161,카페루미 강남점,서울 서초구 서초대로77길 43 경원빌딩 5층 (우)06612,"멀티룸카페, 음료무한리필, TV시청, Wii 게임, 보드게임, 이벤트파티",커피전문점,"월~금 11:00 ~ 24:00
더보기",f,,0/5,https://place.map.kakao.com/12138214#comment
f162,서울창업카페 양천신정점,서울 양천구 신정로7길 75 (우)08049,,카페,,f,,0/5,https://place.map.kakao.com/1238783932#comment
f163,힐링카페작은휴가,서울 마포구 서강로 111 (우)04061,,테마카페,"매일 10:00 ~ 22:00
더보기",f,,0/5,https://place.map.kakao.com/396096203#comment
f164,보드스쿨 홍대2호점,서울 마포구 어울마당로 118 천마빌딩 지하1층 (우)04055,보드게임카페,카페,,f,,0/5,https://place.map.kakao.com/25161316#comment
f165,카페쎄라비,서울 용산구 청파로47길 75 2층 (우)04312,"커피 및 각종 음료와 케익, 머핀을 취급하는 금연 카페입니다.",카페,"월~금 11:00 ~ 23:00
더보기",f,,0/5,https://place.map.kakao.com/11591116#comment
