p_id,u_id,u_rate
b512,wow,5
b512,BOY,5
b512,천수,5
e94,김건우,1
e94,Harin Harry Lee,2
e94,김대현,2
e94,자전거탄풍경,5
g52,미식가,5
g52,max,1
g52,명세인,1
g52,hye,1
g52,여행,1
f710,지후니,5
f2614,정유철,5
f2614,이하영,2
e60,실버,5
f146,dkwiv,4
f146,조민영,4
f146,Yut222,4
c36,조북이,5
g99,김지해,1
g99,최영준,5
g299,허스키,1
f179,슈미,5
f179,예,5
f179,크어먼요,5
e89,dance,5
e89,keepgoing,5
a19,박희수,2
a19,유려,4
a19,simplysimon30,1
a19,🕵🏻‍♀️,4
g84,한님,5
g84,s,5
f1611,도헌,5
f1611,HEEWON YU,5
f1611,율e,5
f1611,김영우,5
f1611,ssun,5
f1611,오현빈,1
f1611,신지섭,1
f1611,임정민,5
f1611,슬기,5
f1611,김기현,5
f1611,박정훈,5
f1611,떵손🙈,5
f1611,모아,5
f1611,disbw,1
f1611,@,1
f1611,SSun.,4
f1611,simplysimon30,1
f1611,dmdmdnd,5
f1611,김지현,5
f1611,장희정,5
f1611,심준우,5
f1611,이현주,5
f1611,김성은,5
f1611,서효원,5
f1611,강현지,5
f1611,심준우,5
f1611,이현주,5
f1611,김성은,5
f1611,서효원,5
f1611,강현지,5
f1611,임민선,5
f1611,김세희,5
f1611,최은별,5
f1611,이윤미,5
f1611,문은애,5
f1611,김혜란,5
f1611,oOo,1
f1611,오주현,2
f1611,Clare,4
f1611,roi,5
f1611,핑슐랭가이드,5
f190,장은영,5
f190,임다은,5
f190,강 예동,5
f190,.,1
f190,콩이,2
c14,xxxx,4
c14,김다영,5
c14,가나다라마바사,5
g284,즐거운~~~,5
f164,덤벨,1
f164,찬,5
f164,쀼,1
f164,김재명,1
a26,애터미No.1,1
a26,1,1
a26,🍛뚱카🍛,3
a26,쏭아지,1
b198,수소,1
b198,선미,5
b198,어비스,5
g77,김앤장,5
a510,보름달,4
a510,Woods,2
a510,우유,3
a510,뿌따따,1
a510,ㄱ. jeong,2
e45,Heyman,5
e45,서병길,5
e45,dance,5
e45,keepgoing,5
c411,덩기덕쿵,5
c411,슬,5
c411,이승아,5
c411,Riders on the Storm.,5
c411,hi,5
f163,Flyingfi5h,5
f163,octsky,5
f163,해피콩,5
f163,떡먹는 펭귄,5
a21,끼끗,1
a21,se,1
a21,didnekw,1
a21,전재진,1
a21,프로볼러,1
a21,달려라 꾸,1
a21,슈슈,1
c13,보우하,2
f197,강연부,1
f197,하연,1
f197,잉왜또화내요,1
f197,딸기크림라떼,1
f197,노량진,1
f197,돌발소년,1
g613,이민재,5
b153,김주원,5
b153,지니,4
a28,HK,2
a28,힘하면접니다,5
a17,연뎡,5
a17,재성,5
a17,박건우,5
a17,Lunary,5
a17,권태헌,5
a17,이세민,5
a17,Rho,5
a17,나영현,5
a17,장하늘,5
a17,Alpiner,4
a17,고은빈,5
f155,남 도연,5
c25,듸,5
g41,유빈,1
g41,.,2
g41,므므,1
a714,아임그루트,1
a714,박성민,1
g1210,최현승,5
e87,수면제,5
b165,occasion,5
f1412,불만많은꿀꿀이,5
f1412,s,5
g279,ㅎㅐㅍㅣ,5
e511,김재현,5
e80,김동호,5
g410,김동찬,5
g410,김현주,5
g410,김명규,5
g410,김유신,5
g410,밍,5
a713,김민식,1
a713,태준,1
a713,아임그루트,1
a713,박성민,1
e74,신희진,1
e74,-,1
e74,yunjeongC,5
e74,빵기,5
e74,쿡펜킹,5
g46,슈퍼야근러,5
g46,응 디에우 린,5
c612,kaboom80,1
c22,토깽이,5
a10,윤신철,5
a10,고마워,5
a10,성지혜,5
a10,룰루랄라,5
a10,답이없다,4
a10,김나연,5
a10,훗,5
a10,NY,5
a10,민식이냐,5
a10,우쭈주,5
a10,스칼렛,5
a10,Kim JaeYeon,5
a10,임마,5
a10,난알아요,5
a10,m00m,5
a10,봄날,5
a10,뽀로루,5
c82,쥬잉,5
c82,3식2,5
g212,진,3
g212,애옹,1
g212,전주영,5
b304,키이라,5
b136,윤혜린,5
e313,ㅇㅈ,5
e313,Sad,1
e313,..,1
e313,.,1
g12,j,5
g12,ㅃ뿌,1
g12,박세진,5
g12,Seon,1
e20,ㅇㅇ,5
e20,냉평,3
e20,FRW,2
e20,맛박사,5
e20,옴뇸뇸,5
a44,마루치,5
a44,scully35,5
a44,지니,3
a44,김민선,1
a44,임규봉,3
c76,평가봇,5
c76,보우하,1
a111,skdpdua,4
e1012,최동기,5
e1012,크림픽시,5
e1012,Hoon,5
e1012,bebeso,5
e1012,슈~~,5
c49,판다,2
c49,먕,3
c49,하쿠나,4
c49,L,3
c49,강나,1
a912,김성훈,5
a912,백지연,5
a912,내사랑님과함께,5
c71,☆soda,3
c71,송준호,5
f101,뽀꾸빵,2
a43,강기범,1
a43,이태용,1
a43,박석호,1
a43,내가짱,1
a43,김민,1
a43,강기범,1
a43,이태용,1
a43,박석호,1
a43,내가짱,1
a43,김민,1
a43,김두헌,1
e27,ldldldld,4
e27,yook,1
e27,ㅇㅇ,1
e27,옴뇸뇸,1
e27,임성택,1
g15,ㅇ,1
g15,양석주,4
e314,김병규,5
e314,은지♡,5
e314,임헌영,5
e314,이슬,5
e314,황광석,5
f1210,오곡초코볼,1
b303,이용호,4
e18,주관적평가인,1
e18,조형우,5
e18,노준호,5
e18,김레볼,4
e18,Soundmaker K.,1
e18,라이어어언,1
e18,임펄스,1
a88,꾸웩,5
c213,NAMU,5
c213,☺,5
c213,슈퍼매직,5
c213,박현경,5
c213,평가자,1
g23,먹는낙,4
g23,ㅁㅈ,4
g23,김 혜진,4
c47,솔직평가,1
c47,후후훙,3
c47,황승준,5
c47,한다돌,5
c47,현정이,5
a312,강기범,1
a312,이태용,1
a312,박석호,1
a312,내가짱,1
a312,김민,1
a312,덩그러니,1
a312,비온후햇살ㅛ,1
a312,데니스,1
a312,sdfasd,1
a312,김두헌,1
a75,Cheyoung,2
a75,쑹,5
a75,선우,1
f137,JkeM,4
b107,모하징(건우지우맘),5
b107,홍수미♡시원*리원,1
b107,beHappy,1
