name,location,category,tags,reviews,review_link,id
창덕궁 향나무,종로구,1.0,#관광지#수도권#자연#창덕궁#창덕궁향나무#천연기념물,,창덕궁,120
창덕궁 다래나무,종로구,1.0,#관광지#수도권#자연#창덕궁#창덕궁다래나무#천연기념물,,창덕궁,121
서울 신림동 굴참나무,관악구,1.0,#관광지#서울신림동굴참나무#수도권#자연#천연기념물,,,122
망우산(서울),중랑구,1.0,#관광지#등산#망우산#산책로#수도권#자연#트레킹,,,123
백련사(서울),서대문구,1.0,#관광지#불교#불교문화#불교사찰#사찰#사찰여행#역사#자연속으로,124.csv,,124
서울 신림동 민속순대타운,관악구,1.0,#골목식당#관광지#남녀노소#맛집#맛집골목#먹자골목#서울맛집#수도권,125.csv,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9252484-Reviews-Sundae_Town-Seoul.html,125
진관사(서울),은평구,1.0,#관광지#불교#불교문화#불교사찰#사찰#사찰여행#역사#자연속으로,126.csv,,126
삼천사(서울),은평구,1.0,#관광지#도심여행#불교#불교문화#불교사찰#사찰#사찰여행#서울삼천사,,,127
광희문,중구,1.0,#관광지#역사#역사공부#역사관광#역사관광지#역사문화#역사문화재,128.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d10779009-Reviews-Gwanghuimun_Gate-Seoul.html,128
인왕산,종로구,1.0,#관광지#등산#수도권#인왕산#자연#트레킹,129.csv,,129
응봉산(서울),성동구,1.0,#관광지#자연,130.csv,,130
삼각산,강북구,1.0,#관광지#자연,,,131
초안산,노원구,1.0,#관광지#자연,,,132
구룡산(서울),서초구,1.0,#관광지#구룡산#산#수도권#자연#트레킹,,,133
봉화산(서울),중랑구,1.0,#관광지#자연,134.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d17382696-Reviews-Bonghwasan_Mountain-Seoul.html,134
청계산,서초구,1.0,#관광지#자연,135.csv,,135
노들섬,용산구,1.0,#관광지,136.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d19366663-Reviews-Nodeul_Island-Seoul.html,136
산마루놀이터,종로구,1.0,#관광지,,,137
부암동,종로구,1.0,#걷기여행#관광지#데이트코스#도심여행#부암동#브런치카페#사계절,,,138
동대문역사문화공원,중구,1.0,#가족여행#걷기좋은길#관광지#데이트코스#동대문역사문화공원#사계절,139.csv,,139
존비코올터장군상,광진구,1.0,#관광지#사계절#수도권#아이와함께#역사공부#역사관광지#역사를품은곳,,,140
이봉창의사동상,용산구,1.0,#관광지#사계절#수도권#아이와함께#역사공부#역사관광지#역사를품은곳,,,141
반공순국용사 위령탑,영등포구,1.0,#관광지#반공순국용사위령탑#사계절#수도권#아이와함께#애국정신,,,142
남강이승훈선생동상,광진구,1.0,#관광지#아이와함께#역사공부#역사관광#역사관광지#역사를품은곳,,,143
유관순동상,중구,1.0,#관광지#사계절#수도권#아이와함께#역사공부#역사를품은곳#역사속,,,144
순국선열추념탑,서대문구,1.0,#관광지#사계절#수도권#순국선열추념탑#아이와함께#역사공부#역사관광지,,,145
고하송진우선생동상,광진구,1.0,#관광지#독립운동#아이와함께#역사공부#역사관광지#역사를품은곳,,,146
유관순열사상,광진구,1.0,#관광지#사계절#수도권#아이와함께#역사공부#역사관광지#역사를품은곳,,,147
3.1독립선언기념탑,서대문구,1.0,#3.1독립선언기념탑#관광지#사계절#수도권#아이와함께#역사공부#역사관광지,,,148
경찰혼,영등포구,1.0,#경찰#경찰서#경찰혼#관광지#사계절#수도권#아이와함께#역사를품은곳,,,149
