name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags
핑크플로어,서울특별시 동작구 현충로 102 3F,카페 / 디저트,,,10:00 - 24:00,,3,
도봉산커피,서울특별시 도봉구 도봉산4가길 4,카페 / 디저트,,,08:00 - 22:00,,1,
두만강샤브샤브,서울특별시 관악구 봉천로 537,기타 중식,,,월: 17:00 - 24:00 화-일: 11:30 - 24:00,4.5,128,"마라탕,서울대,2020망고플레이트인기맛집,술집추천,"
본스치킨,서울특별시 금천구 가산디지털1로 2 우림라이온스밸리2차,닭 / 오리 요리,,,,,0,
바다회사랑,서울특별시 마포구 동교로 156,해산물 요리,,,월-토: 14:30 - 01:00 일: 14:30 - 23:00,4.4,45,"2020망고플레이트인기맛집,맛있는녀석들,"
카페우드진,서울특별시 강서구 마곡중앙6로 45,카페 / 디저트,,,월-금: 07:30 - 22:00 토: 12:00 - 22:00 일: 12:00 - 18:00,,3,
종로계림닭도리탕원조,서울특별시 관악구 관악로 152 2F,닭 / 오리 요리,,,11:00 - 22:30,4.2,24,"2020망고플레이트인기맛집,"
스시히또,서울특별시 금천구 벚꽃로 286 B1 114호,회 / 스시,,,11:30 - 22:00,,3,
Balancecoffeeroaster,서울특별시 중랑구 공릉로2가길 28 1F,카페 / 디저트,,,화-금: 09:00 - 22:00 토-일: 10:00 - 22:00,,1,
우주정,서울특별시 구로구 디지털로32가길 9,기타 한식,,,,,0,
규범곱창,서울특별시 동대문구 회기로 156,고기 요리,,,일,,9,
오징어나라,서울특별시 강동구 천호대로159길 22,해산물 요리,,,15:00 - 04:00,,11,"낮술,횟집,오징어,새우튀김,"
칠복상회,서울특별시 강북구 한천로132길 7 1F,,,,,3.9,30,
코아손만두,서울특별시 서초구 잠원로 51 B1,기타 한식,,,,4.3,26,"2020망고플레이트인기맛집,만두,분식,"
복만루,서울특별시 광진구 동일로18길 43,기타 중식,훠꿔 무한리필 (1인),15000,11:30 - 24:00 ,3.8,64,"생생정보통,정통 중식,샤브샤브,훠궈,양고기,건대 차이나타운,건국대,무한리필,"
모범떡볶이1976,서울특별시 송파구 마천로 41 수기빌딩 2F,기타 한식,,,,3.7,10,"즉석떡볶이,"
