u_id,p_id,rating
108,2221,3
108,1308,1
108,1709,5
108,4525,3
108,5188,1
108,548,5
108,987,5
109,2464,5
109,1658,5
109,3848,3
109,2028,5
110,412,5
111,4066,5
111,925,5
111,1886,5
111,4669,5
111,3644,3
111,1710,5
111,3155,5
111,925,5
111,3100,5
112,4579,3
112,3748,5
112,2690,5
112,4168,5
112,2464,5
112,605,5
112,2307,5
112,3629,5
112,3578,5
112,4666,5
112,1618,3
113,2996,5
114,4758,5
114,1263,1
114,281,1
115,1313,5
115,1978,5
116,1712,5
117,5146,1
117,4457,5
117,4688,1
117,4524,1
117,3528,5
117,1765,1
118,3002,5
119,1699,5
119,1499,5
119,1663,3
119,2211,3
119,4087,5
119,5273,5
119,4742,1
119,3571,3
120,5201,5
120,2768,5
121,1047,3
121,5022,5
121,3558,3
121,1153,3
121,956,5
121,2462,5
122,3059,5
122,412,5
122,4080,5
122,2307,5
123,2843,4
124,1091,4
125,4523,5
126,1022,5
126,3032,5
126,2685,5
127,65,5
127,4596,1
127,3233,5
127,5366,1
127,1659,1
127,1092,1
128,158,5
129,3599,1
130,3737,1
131,1876,3
132,3596,5
133,1685,5
133,3432,5
133,740,5
133,4855,5
133,2008,5
133,377,5
133,3729,5
133,3830,3
133,3029,5
133,1961,5
133,1738,5
133,5273,5
133,5011,5
133,3789,5
133,2505,5
133,3669,3
133,2466,5
133,1186,5
133,5090,5
133,1295,5
133,1631,5
133,412,5
133,4152,5
133,2402,5
133,925,3
133,1213,3
133,1932,5
134,3529,5
135,3565,5
135,4501,5
136,2829,5
137,1258,5
137,1755,5
138,1357,5
138,1548,5
138,4672,5
138,2857,5
138,1811,5
138,4803,5
138,2203,5
138,431,5
138,3309,3
138,3913,3
138,4107,3
138,2122,1
138,3415,5
138,1251,5
138,3308,3
138,2160,5
138,2181,5
138,3988,3
138,3388,5
138,3784,3
138,1183,1
138,559,5
138,5323,5
138,1251,5
138,3022,5
138,333,5
138,3074,5
138,1533,3
138,2606,5
138,1260,5
138,1344,3
138,2611,5
138,3754,5
138,2818,5
138,4911,3
138,3549,5
138,3032,5
138,4590,3
138,3253,5
138,4125,3
138,2342,5
138,4946,5
138,1702,5
138,897,3
138,4754,3
138,740,5
138,2922,5
138,4962,5
138,1743,5
138,173,3
138,1092,3
138,4758,5
138,4183,3
138,848,5
138,3022,3
138,2528,3
138,104,5
138,96,5
138,802,5
138,2310,5
138,4580,5
138,3169,5
138,3138,5
138,1485,5
138,1771,5
138,1344,5
138,2254,3
138,2232,5
138,3931,5
138,2588,5
138,5455,5
138,4114,5
138,3097,5
138,2761,3
138,3130,5
138,4734,5
138,4080,5
138,3573,5
138,3651,5
138,4979,5
138,709,3
138,1264,5
138,1420,3
138,1955,5
138,3647,5
139,789,5
139,1978,5
140,2227,3
141,5217,5
141,2307,5
141,1695,5
141,2573,3
141,3528,5
142,4915,5
143,1186,5
144,3538,5
144,4169,5
144,2577,5
144,412,5
144,211,5
144,2154,5
144,2260,5
144,3719,5
144,412,5
144,4019,5
144,4651,5
144,4353,5
144,2512,5
144,5217,3
144,4811,5
144,1368,5
144,3169,5
144,1036,5
144,4268,5
144,222,5
144,1368,5
144,5392,5
144,916,5
144,3719,5
144,3243,5
144,612,5
144,2278,5
144,4184,5
144,2577,3
144,3988,5
144,2962,5
145,4758,3
146,4804,5
147,41,5
148,4611,5
148,4223,5
148,4006,5
148,1123,5
149,418,1
150,3573,1
151,119,5
151,1663,5
151,1371,5
151,475,5
152,3218,5
152,573,5
152,3138,5
153,3181,3
154,1898,5
154,479,5
154,2999,5
154,3526,1
154,4448,5
154,4441,3
154,3040,5
154,3297,5
154,1351,3
154,1716,5
154,3839,5
154,3371,5
154,4962,5
154,1979,5
155,1019,3
155,5140,5
155,987,3
155,5379,5
155,1381,3
156,3213,5
156,1208,5
156,5301,5
156,2948,5
157,4142,5
157,1102,3
157,2512,3
157,3103,3
157,2187,5
157,3894,5
157,3964,5
157,2515,3
157,3396,1
157,2651,1
157,452,3
158,5273,1
159,1274,5
160,672,5
161,2459,3
162,1667,4
163,311,5
163,4163,5
163,4835,3
164,3299,5
165,2032,5
166,2818,3
166,63,3
166,3994,5
167,3719,5
167,637,5
167,4655,5
167,2129,5
167,831,1
167,4830,5
167,1186,5
167,938,3
167,2511,1
167,4804,5
167,2505,5
167,4571,3
167,1697,5
167,2285,5
167,4105,5
167,3463,3
167,2088,5
