name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags
강남불백 1호점,서울특별시 강남구 역삼동 827-23,,불고기정식,7000,{'매일': '오전 10시 - 오후 11시 '},,,"점심식사,저녁식사,혼밥,식사모임,여자끼리,데이트,가족외식,술모임,모임,남자끼리,가성비좋은,서민적인,캐주얼한,시끌벅적한,깔끔한,중년이상이많은,젊은사람이많은,푸짐한,지역주민이 찾는,무료주차"
스시혼,서울특별시 중랑구 신내동 544-19,,스시혼정식(2인),52000,"{'매일': '오전 11시 30분 - 오후 10시 (, Last Order 21:00)', '쉬는시간 매일': '오후 2시 20분 - 오후 4시 30분 (, Last Order 21:00)', '휴무일': '매주 월요일 '}",,,"점심식사,저녁식사,데이트,식사모임,가족외식,접대,캐주얼한,지역주민이찾는,이국적/이색적,깔끔한,푸짐한,격식있는,지역주민이 찾는,조용한,가성비좋은"
맛있는집,서울특별시 서대문구 북가좌동 311-6,,떡볶이,3000,,,,"간식,데이트,점심식사,혼밥,저녁식사,서민적인,푸짐한,숨은맛집,가성비좋은,지역주민이 찾는,시끌벅적한"
머노까머나 신촌점,서울특별시 서대문구 창천동 52-25 2F,,평일 런치세트 A,9900,{'매일': '오전 11시 - 오후 10시 30분 (연중무휴)'},,,"저녁식사,점심식사,데이트,식사모임,회식,이국적/이색적,깔끔한,서민적인,가성비좋은,조용한,캐주얼한,고급스러운,배달가능"
호 파스타,서울시 광진구 화양동 12-52,,리코타 수제소세지 토마토,7900,"{'매일': '오전 11시 - 오후 9시 (Break Time 15 ~ 17, Last order 20:40)'}",,,"점심식사,데이트,혼밥,저녁식사,식사모임,술모임,조용한,깔끔한,가성비좋은,숨은맛집,캐주얼한,지역주민이 찾는,서민적인,예쁜,고급스러운,이국적/이색적,바테이블"
봉추찜닭,서울시 송파구 신천동 29 제2롯데월드 쇼핑몰 6층,,봉추찜닭(소),23000,{'매일': '오전 10시 30분 - 오후 10시 '},,,"저녁식사,점심식사,데이트,가족외식,식사모임,아이동반,회식,서민적인,푸짐한,시끌벅적한,지역주민이 찾는,조용한,깔끔한,캐주얼한,지역주민이찾는,가성비좋은"
까망통돼지,서울시 중랑구 상봉동 102-89,,통생고기,7900,{'매일': '오전 11시 30분 - 오후 11시 30분 '},,,"저녁식사,회식,술모임,식사모임,점심식사,단체회식,가족외식,데이트,서민적인,지역주민이 찾는,시끌벅적한,가성비좋은,캐주얼한,대형룸"
몽탄,서울 용산구 한강로1가 251-1,,우대갈비,25000,{'매일': '오후 4시 - 오후 11시 30분 '},,,"저녁식사,데이트,술모임,식사모임,가족외식,기념일,점심식사,접대,회식,연말모임,친구들,아이동반,시끌벅적한,고급스러운,숨은맛집,깔끔한,캐주얼한,이국적/이색적,예쁜,서민적인,푸짐한,지역주민이 찾는,조용한,격식있는,주차불가,개별룸"
흥부전놀부전,서울특별시 강북구 수유동 221-55,,해물김치전,12000,"{'매일': '오후 4시 - 오전 2시 ', '휴무일': '매주 일요일 '}",,,"술모임,데이트,회식,서민적인,지역주민이찾는,시끌벅적한,야외좌석,주차불가"
열불날개,서울특별시 강동구 성내동 50-5,,열불날개,10900,{'매일': '오후 5시 - 오전 2시 '},,,"저녁식사,술모임,식사모임,캐주얼한,서민적인,가성비좋은,지역주민이 찾는,푸짐한,시끌벅적한,깔끔한"
사모님돈가스,서울특별시 마포구 상수동 310-8,,사모님돈가스,9500,"{'매일': '정오 12시 - 오후 8시 (,재료소진시 영업종료)', '쉬는시간 매일': '오후 2시 - 오후 5시 (,재료소진시 영업종료)', '휴무일': '매주 일요일 '}",,,"점심식사,저녁식사,데이트,혼밥,식사모임,홍대 돈까스,맛집탐방,홍대 맛집,친구모임,깔끔한,푸짐한,서민적인,캐주얼한,숨은맛집,가성비좋은,예쁜,조용한,지역주민이 찾는,아담한,시끌벅적한,젊은사람이많은,아기자기함,줄서서 먹는,정돈된,일본감성,아담한분위기,현장대기필요,주차불가,예약필요"
스타벅스,서울특별시 금천구 가산동 371-37,,코코넛 화이트 콜드 브루,5900,"{'월요일': '오전 7시 - 오후 7시 30분 (05/04)', '수-금': '오전 7시 - 오후 7시 30분 (05/06)', '휴무일': '매주 토/일 (05/09)'}",,,"차모임,혼카페,간식,데이트,혼밥,기념일,아침식사,깔끔한,캐주얼한,고급스러운,조용한,지역주민이 찾는,무료주차"
이몸이만든빵,서울특별시 양천구 신정동 325,,한입 맘모스,4500,"{'매일': '오전 11시 - 오후 8시 (연중무휴(명절 제외))', '휴무일': '매주 월,일 '}",,,"점심식사,테이크아웃,간식,혼카페,깔끔한,지역주민이 찾는,조용한,숨은맛집,무료주차"
파조쿠치나,서울특별시 강북구 수유동 521-50,,파조버거와 감자튀김,12900,"{'화,수,목,금,토/일': '오전 11시 - 오후 10시 '}",,,"저녁식사,데이트,식사모임,가족외식,서민적인,아담한,가성비좋은,지역주민이 찾는,숨은맛집,캐주얼한,푸짐한"
여신족발,서울특별시 금천구 가산동 44-1,,족발 대,38000,"{'매일': '오후 4시 - 오후 11시 ', '휴무일': '매주 일요일 '}",,,"술모임,저녁식사,회식,가족외식,야식,기본에충실한,남자끼리,시끌벅적한,서민적인,캐주얼한,아담한,오래된집,현장대기필요,좌식"
언니네 함바그,서울특별시 동대문구 이문동 288-53,,언니네함바그M,7500,"{'화,수,금,토/일': '오전 11시 - 오후 9시 (마지막 주문 20:30)'}",,,"점심식사,혼밥,저녁식사,데이트,식사모임,가성비좋은,캐주얼한,서민적인,예쁜,푸짐한,숨은맛집,깔끔한,조용한,시끌벅적한,지역주민이 찾는,배달가능,애완동물동반"
표준커피,서울특별시 노원구 공릉동 589-21,,표준커피,3000,{'매일': '정오 12시 - 오후 10시 '},,,"혼카페,간식,차모임,데이트,3-4인,점심식사,예쁜,깔끔한,지역주민이 찾는,서민적인,조용한,숨은맛집,캐주얼한,야외좌석"
순금이 떡볶이 아차산점,서울특별시 광진구 구의동 53-14,,떡볶이,2500,{'매일': '오전 10시 30분 - 자정 12시 30분 '},,,"점심식사,간식,저녁식사,혼밥,서민적인,지역주민이 찾는,시끌벅적한,캐주얼한,가성비좋은,지역주민이찾는,푸짐한,아담한,숨은맛집"
구복,서울특별시 서대문구 창천동 13-49,,샤오룽바오 (小籠包),7000,"{'월-금': '오전 11시 30분 - 오후 9시 (월요일~토요일)', '일요일': '오후 4시 - 오후 9시 '}",,,"점심식사,저녁식사,혼밥,식사모임,데이트,서민적인,이국적/이색적,숨은맛집,가성비좋은,조용한,지역주민이 찾는,캐주얼한"
우마이도 건대점,서울특별시 광진구 화양동 3-29,,돈코츠 라멘 오리지날,8000,{'매일': '오후 5시 - 오후 9시 (Last order 21:00)'},,,"점심식사,저녁식사,혼밥,데이트,식사모임,아침식사,친구들끼리,술모임,남자끼리,기념일,간식,회식,여자끼리,혼차,가족외식,캐주얼한,깔끔한,이국적/이색적,서민적인,시끌벅적한,가성비좋은,아담한,젊은사람이많은,조용한,푸짐한,숨은맛집,지역주민이 찾는,예쁜,일본감성,현장대기필요,콜키지가능,돈코츠라멘"
썸머타이,서울특별시 노원구 상계동 710,,뿌님팟퐁커리,28000,{'매일': '오전 11시 - 오후 10시 '},,,"점심식사,저녁식사,식사모임,데이트,아침식사,혼밥,가족외식,깔끔한,푸짐한,예쁜,이국적/이색적,캐주얼한,숨은맛집,아담한,무료주차,포장가능,예약가능,단체석,배달가능,무선인터넷"
그집껍데기,서울특별시 강서구 화곡동 1115-23,,불속에 빠진돈,10000,{'매일': '오후 5시 - 오전 3시 '},,,"저녁식사,술모임,식사모임,데이트,숨은맛집,서민적인,지역주민이 찾는,캐주얼한,무료주차"
서부감자국,서울특별시 은평구 녹번동 181,,감자국(小),22000,{'매일': '24시간 영업 (연중무휴)'},,,"술모임,저녁식사,식사모임,가족외식,점심식사,아이동반,회식,지역주민이 찾는,서민적인,가성비좋은,푸짐한,캐주얼한,숨은맛집,깔끔한,조용한,시끌벅적한,24시간영업"
기꾸스시,서울특별시 서대문구 창천동 72-23,,기꾸초밥,9000,"{'매일': '오전 11시 30분 - 오후 10시 (연중무휴(명절제외), 브레이크타임 3시~5)'}",,,"점심식사,저녁식사,데이트,혼밥,식사모임,접대,술모임,친구랑 둘이,가성비좋은,캐주얼한,깔끔한,서민적인,조용한,시끌벅적한,아담한,숨은맛집,푸짐한,지역주민이 찾는,이국적/이색적,고급스러운,젊은사람이많은,예쁜,현장대기필요,좌식,무료주차,개별룸"
서북면옥,서울시 광진구 구의2동 80-47,,물냉면,8000,"{'매일': '오전 11시 - 오후 8시 (마지막 주문 20:00)', '휴무일': '매주 일요일 '}",,,"점심식사,저녁식사,가족외식,혼밥,아침식사,데이트,식사모임,아이동반,회식,다이어트식단,접대,서민적인,가성비좋은,시끌벅적한,오래된집,캐주얼한,깔끔한,지역주민이 찾는,아담한,중년이상이많은,숨은맛집,조용한,푸짐한,토속적인,친절,이국적/이색적,고급스러운,현장대기필요,좌식,어린이대공원주차장,주차불가"
아리가또맘마,서울특별시 금천구 가산동 371-106,,눈꽃치즈돈까스,8500,"{'매일': '오전 11시 - 오후 9시 (공휴일, 일요일 휴무)'}",,,"점심식사,가족외식,저녁식사,서민적인,캐주얼한,지역주민이 찾는,숨은맛집"
브레라,서울시 중구 신당동 366-440,,마르게리타 피자,15900,{'매일': '오전 11시 - 오후 11시 (주문마감 21:30)'},,,"점심식사,저녁식사,데이트,가족외식,모임,식사모임,캐주얼한,이국적/이색적,시끌벅적한,푸짐한,숨은맛집,가성비좋은,지역주민이 찾는"
에헴,서울특별시 중랑구 상봉동 90-11,,토마토 삼겹 꼬치,2500,,,,"저녁식사,술모임,데이트,지역주민이 찾는,시끌벅적한,숨은맛집,이국적/이색적"
텐동 요츠야,서울특별시 관악구 봉천동 1603-19,,텐동요츠야,8000,"{'매일': '정오 12시 - 오후 9시 ', '쉬는시간 매일': '오후 2시 30분 - 오후 5시 ', '휴무일': '매주 월요일 '}",,,"점심식사,저녁식사,데이트,혼밥,식사모임,혼술,여자끼리,술모임,가족외식,깔끔한,이국적/이색적,캐주얼한,푸짐한,시끌벅적한,조용한,지역주민이 찾는,서민적인,숨은맛집,예쁜,고급스러운,가성비좋은,경관/야경이 좋은,젊은사람이많은,줄서서먹는,아담한,격식있는,현장대기필요"
등촌샤브칼국수 등촌점,서울특별시 강서구 등촌3동 679-1 아트빌딩 2층,,버섯 매운탕 칼국수,8000,"{'매일': '오전 10시 30분 - 오후 10시 (10:40 오픈 (주말,공휴일) 영업합니다)'}",,,"점심식사,저녁식사,식사모임,데이트,가족외식,모임,아침식사,가성비좋은,서민적인,지역주민이 찾는,캐주얼한,푸짐한,시끌벅적한,숨은맛집,지역주민이찾는,무료주차"
콜린,서울특별시 마포구 서교동 403-13,,음료,5500,"{'월-금': '오전 10시 30분 - 오전 2시 ', '토/일': '오전 10시 30분 - 오전 3시 '}",,,"데이트,차모임,혼카페,간식,점심식사,디저트,친구들끼리,기념일,플라워 까페,힐링,접대,여자끼리,예쁜,경관/야경이 좋은,캐주얼한,깔끔한,이국적/이색적,시끌벅적한,격식있는,플라워카페,조용한,야외좌석,플라워카페"
로코스 비비큐 본점,서울특별시 용산구 이태원동 2-5,,PORK,,"{'월-금': '오전 11시 30분 - 오후 10시 30분 (월화수목일)', '토/일': '오전 11시 30분 - 오후 11시 (금토)'}",,,"점심식사,저녁식사,데이트,술모임,회식,식사모임,가족외식,푸짐한,이국적/이색적,시끌벅적한,고급스러운,숨은맛집,가성비좋은,캐주얼한"
부흥축산,서울 중랑구 상봉동 105-91,,,,{'매일': '오전 8시 30분 - 오후 10시 '},,,"저녁식사,식사모임,서민적인,가성비좋은"
에그썸,서울특별시 관악구 봉천동 1626-5,,마그마오믈렛,9500,"{'매일': '오전 11시 - 오후 9시 (라스트오더 1차 (오후 3시20분) 2차 (오후 8시20분))', '쉬는시간 매일': '오후 4시 - 오후 5시 '}",,,"점심식사,데이트,저녁식사,혼밥,식사모임,여자끼리,친구랑,기념일,친구들끼리,남자끼리,깔끔한,캐주얼한,가성비좋은,서민적인,푸짐한,예쁜,조용한,숨은맛집,시끌벅적한,아담한,지역주민이 찾는,아담한 분위기,지역주민이찾는,작고 귀여운,이국적/이색적,생활의달인,구데타마,야외좌석,바테이블,웨이팅장소가마련,현장대기필요,주차불가"
