p_name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags,p_id
쿠이도라쿠라멘,서울특별시 성북구 안암로 103,라멘 / 소바 / 우동,돈코츠 라멘,6000.0,11:00 - 21:30,3.4,78.0,"라멘,돈가스,음료,국물,",4649
뻬지아슈,서울시 도봉구 방학동 716-5 131호,카페 / 디저트,,,10:30 - 22:00,,3.0,,2271
야마야,서울특별시 영등포구 여의대로 66 2F,기타 일식,점심특선,13000.0,월-금: 11:00 - 23:40 토: 11:00 - 21:40,4.0,69.0,"런치,",3136
카츠바이콘반,서울특별시 강남구 선릉로153길 36,까스 요리,,,11:30 - 20:30,4.4,28.0,"2020망고플레이트인기맛집,",4422
라그릴리아,서울특별시 구로구 경인로 662 신도림디큐브시티백화점 별관 2F,이탈리안,머쉬룸 라구 파스타,15900.0,월-금: 11:00 - 22:30 토-일: 11:00 - 22:00,,9.0,"망고웨잇,줄서는식당,",1204
아바이왕순대,서울특별시 서대문구 충정로6안길 52,탕 / 찌개 / 전골,,,08:00 - 22:00,3.9,5.0,"순대국밥,",3028
카페진정성,서울특별시 영등포구 국제금융로8길 31 SK증권 1F,카페 / 디저트,,,월-금: 08:00 - 21:00 토-일: 11:00 - 21:00,3.9,57.0,"여의도 벚꽃축제,",4523
인상적,서울특별시 노원구 덕릉로83길 20-7 B1,칵테일 / 와인,,,월,,3.0,,3866
뺑드램,서울특별시 광진구 뚝섬로 599 1F,베이커리,,,08:00 - 22:00,4.0,33.0,"유기농,빵집,아늑한,단팥빵,다트,베이커리,케이크,",2269
마포리1987,서울특별시 마포구 독막로38길 3,퓨전 양식,,,11:30 - 23:00,4.3,31.0,"2020망고플레이트인기맛집,파스타,",1464
찰스에이치,서울특별시 종로구 새문안로 97 포시즌스호텔 서울 B1,칵테일 / 와인,,,18:30 - 02:00,4.4,45.0,"와인,술집추천,광화문,칵테일,데이트,Cocktail,위스키바,테이스티로드,2020망고플레이트인기맛집,",4236
반조,서울특별시 관악구 관악로12길 11 2F,,,,,4.0,33.0,,1901
용두본쭈꾸미,서울특별시 금천구 벚꽃로 298 대륭포스트타워,해산물 요리,,,,,1.0,"제육,쭈꾸미,소주,",3560
올레무스,서울특별시 서대문구 연희로5길 58,,,,,4.4,39.0,"2020망고플레이트인기맛집,",3497
부촌육회,서울특별시 종로구 종로 200-4 1F,고기 요리,,,,4.2,13.0,"고깃집,2020망고플레이트인기맛집,",2126
