tags,p_id,p_rate,link,open_day,price,address,p_name,category,open_time
,c1811,0/5,https://place.map.kakao.com/892336479#comment,매일 10:00 ~ 02:00,,서울 노원구 상계로 65 현성빌딩 지하1층 (우)01693,카툰공감 노원역점,c,북카페
,c1812,0/5,https://place.map.kakao.com/1844267326#comment,,,서울 관악구 신림로 107 (우)08813,고지트,c,고양이카페
,c1814,0/5,https://place.map.kakao.com/920337216#comment,"매일 11:00 ~ 01:00
더보기",,서울 강북구 도봉로 350 삼주빌딩 4층 (우)01063,모비딕 수유점,c,북카페
,c182,0/5,https://place.map.kakao.com/26879887#comment,,,서울 송파구 오금로 111 세기빌딩 4층 (우)05548,놀숲 본사,c,북카페
,c183,0/5,https://place.map.kakao.com/676896789#comment,매일 10:00 ~ 24:00,,"서울 양천구 목동동로 258 상가동 지층 지하1,2호 (우)07999",놀숲 목동오목교점,c,북카페
,c184,0/5,https://place.map.kakao.com/2093252560#comment,매일 10:00 ~ 24:00,,서울 강남구 강남대로 532 지하 1층 (우)06114,놀숲 강남논현점,c,북카페
,c186,0/5,https://place.map.kakao.com/888813952#comment,매일 10:00 ~ 02:00,,서울 동작구 동작대로27길 5 지하1층 (우)07008,놀숲 이수역점,c,북카페
,c187,0/5,https://place.map.kakao.com/234572750#comment,,,서울 노원구 상계로 59 2층 (우)01694,놀숲 노원역점,c,북카페
,c188,0/5,https://place.map.kakao.com/1722340655#comment,"매일 11:30 ~ 23:00
더보기",,서울 종로구 대학로8가길 79 3층 (우)03086,힐링유후,c,테마카페
,c189,0/5,https://place.map.kakao.com/1015004442#comment,,,서울 강서구 강서로 60-1 지하 1층 (우)07756,비툰,c,북카페
,c19,0/5,https://place.map.kakao.com/671701240#comment,"월~금 11:00 ~ 23:00
더보기",,서울 동작구 노량진로16길 14 3층 (우)06922,프리미엄만화카페 잼툰,c,만화카페
