address,tags,open_time,price,p_id,link,p_rate,category,p_name,open_day
서울 성동구 마조로1가길 13 지하 1층 (우)04760,,보드카페,,f313,https://place.map.kakao.com/864094100#comment,0/5,f,스몰월드 왕십리점,"월~금 13:00 ~ 23:30
더보기"
서울 서대문구 연세로7길 14 3층 (우)03788,,보드카페,,f314,https://place.map.kakao.com/18454124#comment,0/5,f,보드스쿨 신촌점,"월~금 11:30 ~ 23:30
더보기"
서울 관악구 조원로2길 51 (우)08768,,보드카페,,f32,https://place.map.kakao.com/27187491#comment,0/5,f,스테이보드게임카페,매일 16:00 ~ 02:00
서울 서초구 서초대로77길 9 누드존빌딩 602호 (우)06615,,보드카페,,f33,https://place.map.kakao.com/198290497#comment,0/5,f,보드스쿨 강남역점,"월~금 13:00 ~ 23:00
더보기"
서울 양천구 목동로25길 16 (우)07937,,보드카페,,f34,https://place.map.kakao.com/16907941#comment,0/5,f,큐브 목동본점,
서울 강남구 봉은사로2길 13 (우)06123,,보드카페,,f35,https://place.map.kakao.com/22550483#comment,0/5,f,보드게임카페오즈,
서울 송파구 송파대로 459 (우)05609,고전게임카페,보드카페,,f36,https://place.map.kakao.com/21539847#comment,0/5,f,고전게임카페,
서울 서대문구 연세로5가길 1 5층 (우)03789,,보드카페,,f37,https://place.map.kakao.com/1653896730#comment,0/5,f,데블다이스 신촌점,매일 12:00 ~ 00:00
서울 용산구 보광로59길 36 5층 (우)04391,이태원역 5분거리에 있는 보드게임 카페입니다.,보드카페,,f38,https://place.map.kakao.com/26773358#comment,0/5,f,하이힐,
서울 종로구 새문안로3길 23 경희궁의아침4단지 지하상가 107호 (우)03174,,보드카페,,f39,https://place.map.kakao.com/841664157#comment,0/5,f,보드게임101,"화~토 13:00 ~ 23:00
더보기"
서울 강남구 테헤란로1길 17 상우빌딩 3층 (우)06134,,보드카페,,f40,https://place.map.kakao.com/1506595559#comment,0/5,f,펀타임 강남점,
서울 강남구 선릉로86길 34 3층 (우)06197,,보드카페,,f41,https://place.map.kakao.com/1642290671#comment,0/5,f,펀보드게임카페,"월~금 15:00 ~ 06:00
더보기"
서울 관악구 신림로 323 3층 (우)08776,,보드카페,,f410,https://place.map.kakao.com/1578764944#comment,0/5,f,레드버튼 신림점,"월~목 13:00 ~ 01:00
더보기"
서울 종로구 대명길 24 5층 (우)03077,,보드카페,,f411,https://place.map.kakao.com/22538021#comment,0/5,f,펀타임 대학로,매일 12:00 ~ 24:00
서울 성북구 고려대로24길 36 3층 (우)02855,,보드카페,,f412,https://place.map.kakao.com/334610092#comment,0/5,f,보드게임카페 로직 안암점,
서울 송파구 올림픽로10길 9 (우)05557,,보드카페,,f413,https://place.map.kakao.com/27488015#comment,0/5,f,베가스 보드게임카페,
서울 영등포구 영등포로 242 (우)07303,,보드카페,,f414,https://place.map.kakao.com/27402262#comment,0/5,f,세라비보드카페,"매일 13:00 ~ 03:00 (연장가능)
더보기"
서울 중구 명동길 38 (우)04536,,보드카페,,f42,https://place.map.kakao.com/21443537#comment,0/5,f,모나코,
서울 종로구 대학로 143 3층 (우)03077,,보드카페,,f43,https://place.map.kakao.com/1459775602#comment,0/5,f,보드스쿨 대학로점,
서울 관악구 관악로 168 2층 (우)08788,,보드카페,,f45,https://place.map.kakao.com/1076168962#comment,0/5,f,스몰월드 서울대점,"월~금 13:00 ~ 23:30
더보기"
서울 노원구 상계로 64 화랑빌딩 3층 (우)01695,,보드카페,,f48,https://place.map.kakao.com/1285887478#comment,0/5,f,홈즈앤루팡 노원점,
서울 동작구 동작대로27가길 48 5층 (우)07008,,보드카페,,f49,https://place.map.kakao.com/661334779#comment,0/5,f,스몰월드 이수점,매일 12:00 ~ 23:30
서울 마포구 동교로17안길 10 (우)04002,,보드카페,,f60,https://place.map.kakao.com/177930490#comment,0/5,f,깔깔고블린,
서울 강남구 테헤란로33길 13 (우)06141,"오픈한지 얼마 안된 역삼에 보드카페 명소 아수라발발타입니다
어느 보드카페보다 많은 종류의 보드게임과 각종 맛있는 먹을거리를 즐기러 오세요",보드카페,,f610,https://place.map.kakao.com/17546078#comment,0/5,f,아수라발발타 역삼점,"매일 00:00 ~ 24:00
더보기"
서울 광진구 능동로 111 3층 (우)05017,,보드카페,,f611,https://place.map.kakao.com/12658183#comment,0/5,f,라임보드게임,
서울 동대문구 회기로21길 34 지하 1층 (우)02453,,보드카페,,f613,https://place.map.kakao.com/1858456588#comment,0/5,f,더벙커,
서울 강남구 테헤란로22길 13 예동빌딩 지하1층 (우)06236,,보드카페,,f614,https://place.map.kakao.com/1192249455#comment,0/5,f,썬보드카페,
서울 종로구 창경궁로29길 25 명륜빌딩 2층 202호 (우)03073,,보드카페,,f62,https://place.map.kakao.com/27286294#comment,0/5,f,레드다이스,매일 13:00 ~ 23:00
서울 중구 명동8길 37-14 (우)04536,,보드카페,,f63,https://place.map.kakao.com/398799102#comment,0/5,f,더룸보드카페,
서울 관악구 행운2길 17 지층 (우)08742,,보드카페,,f67,https://place.map.kakao.com/464833790#comment,0/5,f,미니보드,
서울 노원구 노해로85길 1 6층 (우)01695,,보드카페,,f68,https://place.map.kakao.com/274700806#comment,0/5,f,루시오 노원점,
서울 영등포구 여의대방로51길 13 지하1층 (우)07355,,보드카페,,f70,https://place.map.kakao.com/18662431#comment,0/5,f,보드카페아쿠아,연중무휴
서울 송파구 백제고분로41길 26 3층 (우)05622,,보드카페,,f710,https://place.map.kakao.com/740613824#comment,0/5,f,보드게임카페갬성,
서울 성북구 동소문로22길 30 3층 (우)02845,,보드카페,,f711,https://place.map.kakao.com/27440027#comment,0/5,f,플레이보드 성신여대점,
서울 강동구 천호대로157길 26 4층 (우)05335,보드게임 전문 카페,보드카페,,f712,https://place.map.kakao.com/7858123#comment,0/5,f,라퓨타,매일 13:00 ~ 23:59
